Marechal Deodoro,AL,NORDESTE,1,1,2018
Messias,AL,NORDESTE,1,1,2018
Minador Do Negrão,AL,NORDESTE,1,1,2018
Murici,AL,NORDESTE,2,1,2018
Murici,AL,NORDESTE,2,1,2018
Olho D Água Das Flores,AL,NORDESTE,1,1,2018
Palmeira Dos Índios,AL,NORDESTE,5,1,2018
Paripueira,AL,NORDESTE,2,1,2018
Paripueira,AL,NORDESTE,1,1,2018
Passo De Camaragibe,AL,NORDESTE,1,1,2018
Paulo Jacinto,AL,NORDESTE,1,1,2018
Penedo,AL,NORDESTE,1,1,2018
Piaçabuçu,AL,NORDESTE,1,1,2018
Pilar,AL,NORDESTE,7,1,2018
Piranhas,AL,NORDESTE,1,1,2018
Poço Das Trincheiras,AL,NORDESTE,1,1,2018
Porto Calvo,AL,NORDESTE,1,1,2018
Porto Real Do Colégio,AL,NORDESTE,1,1,2018
Rio Largo,AL,NORDESTE,5,1,2018
Santa Luzia Do Norte,AL,NORDESTE,1,1,2018
São Luís Do Quitunde,AL,NORDESTE,1,1,2018
São Miguel Dos Milagres,AL,NORDESTE,1,1,2018
São Sebastião,AL,NORDESTE,1,1,2018
Satuba,AL,NORDESTE,2,1,2018
Traipu,AL,NORDESTE,1,1,2018
Arapiraca,AL,NORDESTE,8,1,2018
Atalaia,AL,NORDESTE,2,1,2018
Barra De São Miguel,AL,NORDESTE,1,1,2018
Batalha,AL,NORDESTE,1,1,2018
Boca Da Mata,AL,NORDESTE,2,1,2018
Capela,AL,NORDESTE,1,1,2018
Carneiros,AL,NORDESTE,1,1,2018
Colônia Leopoldina,AL,NORDESTE,3,1,2018
Colônia Leopoldina,AL,NORDESTE,2,1,2018
Coruripe,AL,NORDESTE,2,1,2018
Coruripe,AL,NORDESTE,4,1,2018
Craíbas,AL,NORDESTE,1,1,2018
Feira Grande,AL,NORDESTE,1,1,2018
Flexeiras,AL,NORDESTE,2,1,2018
Girau Do Ponciano,AL,NORDESTE,2,1,2018
Igaci,AL,NORDESTE,1,1,2018
Inhapi,AL,NORDESTE,1,1,2018
Jacaré Dos Homens,AL,NORDESTE,1,1,2018
Jaramataia,AL,NORDESTE,1,1,2018
Jequiá Da Praia,AL,NORDESTE,1,1,2018
Joaquim Gomes,AL,NORDESTE,1,1,2018
Lagoa Da Canoa,AL,NORDESTE,3,1,2018
Maceió,AL,NORDESTE,29,1,2018
Maragogi,AL,NORDESTE,1,1,2018
Marechal Deodoro,AL,NORDESTE,1,1,2018
Mata Grande,AL,NORDESTE,1,1,2018
Matriz De Camaragibe,AL,NORDESTE,1,1,2018
Minador Do Negrão,AL,NORDESTE,1,1,2018
Murici,AL,NORDESTE,3,1,2018
Olho D Água Das Flores,AL,NORDESTE,1,1,2018
Palmeira Dos Índios,AL,NORDESTE,1,1,2018
Palmeira Dos Índios,AL,NORDESTE,2,1,2018
Paripueira,AL,NORDESTE,1,1,2018
Penedo,AL,NORDESTE,3,1,2018
Pilar,AL,NORDESTE,1,1,2018
Porto Real Do Colégio,AL,NORDESTE,1,1,2018
Rio Largo,AL,NORDESTE,6,1,2018
Rio Largo,AL,NORDESTE,1,1,2018
Roteiro,AL,NORDESTE,2,1,2018
Santana Do Ipanema,AL,NORDESTE,1,1,2018
São José Da Laje,AL,NORDESTE,1,1,2018
São José Da Tapera,AL,NORDESTE,1,1,2018
São Luís Do Quitunde,AL,NORDESTE,2,1,2018
São Miguel Dos Campos,AL,NORDESTE,2,1,2018
São Sebastião,AL,NORDESTE,1,1,2018
Teotônio Vilela,AL,NORDESTE,2,1,2018
Traipu,AL,NORDESTE,1,1,2018
União Dos Palmares,AL,NORDESTE,2,1,2018
Viçosa,AL,NORDESTE,1,1,2018
Água Branca,AL,NORDESTE,1,1,2018
Arapiraca,AL,NORDESTE,9,1,2018
Atalaia,AL,NORDESTE,3,1,2018
Barra De Santo Antônio,AL,NORDESTE,1,1,2018
Branquinha,AL,NORDESTE,1,1,2018
Cajueiro,AL,NORDESTE,2,1,2018
Capela,AL,NORDESTE,1,1,2018
Coruripe,AL,NORDESTE,4,1,2018
Delmiro Gouveia,AL,NORDESTE,1,1,2018
Dois Riachos,AL,NORDESTE,2,1,2018
Feliz Deserto,AL,NORDESTE,1,1,2018
Flexeiras,AL,NORDESTE,1,1,2018
Girau Do Ponciano,AL,NORDESTE,1,1,2018
