UF;Tipo Crime;Ano;Mês;Ocorrências
Acre;Roubo seguido de morte (latrocínio);2018;1;2
Acre;Tentativa de homicídio;2018;1;8
Acre;Estupro;2018;2;20
Acre;Furto de veículo;2018;2;56
Acre;Homicídio doloso;2018;2;28
Acre;Lesão corporal seguida de morte;2018;2;0
Acre;Roubo a instituição financeira;2018;2;0
Acre;Roubo de carga;2018;2;0
Acre;Roubo de veículo;2018;2;59
Acre;Roubo seguido de morte (latrocínio);2018;2;2
Acre;Tentativa de homicídio;2018;2;3
Acre;Estupro;2018;3;26
Acre;Furto de veículo;2018;3;37
Acre;Homicídio doloso;2018;3;29
Acre;Lesão corporal seguida de morte;2018;3;0
Acre;Roubo a instituição financeira;2018;3;0
Acre;Roubo de carga;2018;3;0
Acre;Roubo de veículo;2018;3;48
Acre;Roubo seguido de morte (latrocínio);2018;3;0
Acre;Tentativa de homicídio;2018;3;7
Acre;Estupro;2018;4;25
Acre;Furto de veículo;2018;4;44
Acre;Homicídio doloso;2018;4;30
Acre;Lesão corporal seguida de morte;2018;4;0
Acre;Roubo a instituição financeira;2018;4;0
Acre;Roubo de carga;2018;4;0
Acre;Roubo de veículo;2018;4;53
Acre;Roubo seguido de morte (latrocínio);2018;4;4
Acre;Tentativa de homicídio;2018;4;3
Acre;Estupro;2018;5;23
Acre;Furto de veículo;2018;5;43
Acre;Homicídio doloso;2018;5;36
Acre;Lesão corporal seguida de morte;2018;5;0
Acre;Roubo a instituição financeira;2018;5;0
Acre;Roubo de carga;2018;5;0
Acre;Roubo de veículo;2018;5;87
Acre;Roubo seguido de morte (latrocínio);2018;5;1
Acre;Tentativa de homicídio;2018;5;8
Acre;Estupro;2018;6;20
Acre;Furto de veículo;2018;6;56
Acre;Homicídio doloso;2018;6;36
Acre;Lesão corporal seguida de morte;2018;6;0
Acre;Roubo a instituição financeira;2018;6;1
Acre;Roubo de carga;2018;6;0
Acre;Roubo de veículo;2018;6;102
Acre;Roubo seguido de morte (latrocínio);2018;6;1
Acre;Tentativa de homicídio;2018;6;7
Acre;Estupro;2018;7;16
Acre;Furto de veículo;2018;7;56
Acre;Homicídio doloso;2018;7;51
Acre;Lesão corporal seguida de morte;2018;7;0
Acre;Roubo a instituição financeira;2018;7;0
Acre;Roubo de carga;2018;7;1
Acre;Roubo de veículo;2018;7;90
Acre;Roubo seguido de morte (latrocínio);2018;7;0
Acre;Tentativa de homicídio;2018;7;11
Acre;Estupro;2018;8;22
Acre;Furto de veículo;2018;8;58
Acre;Homicídio doloso;2018;8;33
Acre;Lesão corporal seguida de morte;2018;8;0
Acre;Roubo a instituição financeira;2018;8;0
Acre;Roubo de carga;2018;8;0
Acre;Roubo de veículo;2018;8;91
Acre;Roubo seguido de morte (latrocínio);2018;8;2
Acre;Tentativa de homicídio;2018;8;9
Acre;Estupro;2018;9;30
Acre;Furto de veículo;2018;9;76
Acre;Homicídio doloso;2018;9;25
Acre;Lesão corporal seguida de morte;2018;9;0
Acre;Roubo a instituição financeira;2018;9;0
Acre;Roubo de carga;2018;9;0
Acre;Roubo de veículo;2018;9;98
Acre;Roubo seguido de morte (latrocínio);2018;9;4
Acre;Tentativa de homicídio;2018;9;6
Acre;Estupro;2018;10;24
Acre;Furto de veículo;2018;10;87
Acre;Homicídio doloso;2018;10;28
Acre;Lesão corporal seguida de morte;2018;10;0
Acre;Roubo a instituição financeira;2018;10;0
Acre;Roubo de carga;2018;10;0
Acre;Roubo de veículo;2018;10;120
Acre;Roubo seguido de morte (latrocínio);2018;10;1
Acre;Tentativa de homicídio;2018;10;16
Acre;Estupro;2018;11;17
Acre;Furto de veículo;2018;11;63
Acre;Homicídio doloso;2018;11;21
Acre;Lesão corporal seguida de morte;2018;11;0
Acre;Roubo a instituição financeira;2018;11;0
Acre;Roubo de carga;2018;11;0
Acre;Roubo de veículo;2018;11;117
Acre;Roubo seguido de morte (latrocínio);2018;11;2
Acre;Tentativa de homicídio;2018;11;7
Acre;Estupro;2018;12;23
Acre;Furto de veículo;2018;12;54
Acre;Homicídio doloso;2018;12;28
Acre;Lesão corporal seguida de morte;2018;12;0
Acre;Roubo a instituição financeira;2018;12;1
Acre;Roubo de carga;2018;12;0
Acre;Roubo de veículo;2018;12;105
Acre;Roubo seguido de morte (latrocínio);2018;12;1
Acre;Tentativa de homicídio;2018;12;1
Acre;Estupro;2019;1;33
Acre;Furto de veículo;2019;1;46
Acre;Homicídio doloso;2019;1;32
Acre;Lesão corporal seguida de morte;2019;1;0
Acre;Roubo a instituição financeira;2019;1;1
Acre;Roubo de carga;2019;1;0
Acre;Roubo de veículo;2019;1;104
Acre;Roubo seguido de morte (latrocínio);2019;1;0
Acre;Tentativa de homicídio;2019;1;15
Acre;Estupro;2019;2;21
Acre;Furto de veículo;2019;2;52
Acre;Homicídio doloso;2019;2;25
Acre;Lesão corporal seguida de morte;2019;2;1
Acre;Roubo a instituição financeira;2019;2;0
Acre;Roubo de carga;2019;2;0
Acre;Roubo de veículo;2019;2;94
Acre;Roubo seguido de morte (latrocínio);2019;2;1
Acre;Tentativa de homicídio;2019;2;7
Acre;Estupro;2019;3;24
Acre;Furto de veículo;2019;3;46
Acre;Homicídio doloso;2019;3;26
Acre;Lesão corporal seguida de morte;2019;3;0
Acre;Roubo de veículo;2019;3;80
Acre;Roubo seguido de morte (latrocínio);2019;3;1
Acre;Tentativa de homicídio;2019;3;7
Acre;Estupro;2019;4;35
Acre;Furto de veículo;2019;4;67
Acre;Homicídio doloso;2019;4;21
Acre;Lesão corporal seguida de morte;2019;4;0
Acre;Roubo a instituição financeira;2019;4;0
Acre;Roubo de carga;2019;4;2
Acre;Roubo de veículo;2019;4;101
Acre;Roubo seguido de morte (latrocínio);2019;4;2
Acre;Tentativa de homicídio;2019;4;14
Acre;Estupro;2019;5;27
Acre;Furto de veículo;2019;5;48
Acre;Homicídio doloso;2019;5;20
Acre;Lesão corporal seguida de morte;2019;5;0
Acre;Roubo a instituição financeira;2019;5;0
Acre;Roubo de carga;2019;5;0
Acre;Roubo de veículo;2019;5;104
Acre;Roubo seguido de morte (latrocínio);2019;5;1
Acre;Tentativa de homicídio;2019;5;4
Acre;Estupro;2019;6;33
Acre;Furto de veículo;2019;6;45
Acre;Homicídio doloso;2019;6;20
Acre;Roubo a instituição financeira;2019;6;0
Acre;Roubo de veículo;2019;6;90
Acre;Roubo seguido de morte (latrocínio);2019;6;3
Acre;Tentativa de homicídio;2019;6;16
Acre;Estupro;2019;7;25
Acre;Furto de veículo;2019;7;60
Acre;Homicídio doloso;2019;7;18
Acre;Roubo a instituição financeira;2019;7;3
Acre;Roubo de carga;2019;7;0
