UF;Tipo Crime;Ano;Mês;Vítimas
Amapá;Lesão corporal seguida de morte;2019;7;1
Amapá;Lesão corporal seguida de morte;2019;8;3
Amapá;Lesão corporal seguida de morte;2019;9;5
Amapá;Lesão corporal seguida de morte;2019;10;2
Amapá;Lesão corporal seguida de morte;2019;11;5
Amapá;Lesão corporal seguida de morte;2019;12;0
Amapá;Lesão corporal seguida de morte;2020;1;8
Amapá;Lesão corporal seguida de morte;2020;2;1
Amapá;Lesão corporal seguida de morte;2020;3;1
Amapá;Roubo seguido de morte (latrocínio);2015;1;3
Amapá;Roubo seguido de morte (latrocínio);2015;2;1
Amapá;Roubo seguido de morte (latrocínio);2015;3;2
Amapá;Roubo seguido de morte (latrocínio);2015;4;1
Amapá;Roubo seguido de morte (latrocínio);2015;5;4
Amapá;Roubo seguido de morte (latrocínio);2015;6;1
Amapá;Roubo seguido de morte (latrocínio);2015;7;1
Amapá;Roubo seguido de morte (latrocínio);2015;8;2
Amapá;Roubo seguido de morte (latrocínio);2015;12;2
Amapá;Roubo seguido de morte (latrocínio);2016;2;6
Amapá;Roubo seguido de morte (latrocínio);2016;3;3
Amapá;Roubo seguido de morte (latrocínio);2016;4;1
Amapá;Roubo seguido de morte (latrocínio);2016;5;2
Amapá;Roubo seguido de morte (latrocínio);2016;7;1
Amapá;Roubo seguido de morte (latrocínio);2016;8;1
Amapá;Roubo seguido de morte (latrocínio);2016;9;2
Amapá;Roubo seguido de morte (latrocínio);2016;11;1
Amapá;Roubo seguido de morte (latrocínio);2016;12;1
Amapá;Roubo seguido de morte (latrocínio);2017;1;2
Amapá;Roubo seguido de morte (latrocínio);2017;2;2
Amapá;Roubo seguido de morte (latrocínio);2017;3;1
Amapá;Roubo seguido de morte (latrocínio);2017;4;3
Amapá;Roubo seguido de morte (latrocínio);2017;5;5
Amapá;Roubo seguido de morte (latrocínio);2017;6;2
Amapá;Roubo seguido de morte (latrocínio);2017;7;1
Amapá;Roubo seguido de morte (latrocínio);2017;8;1
Amapá;Roubo seguido de morte (latrocínio);2017;10;1
Amapá;Roubo seguido de morte (latrocínio);2017;11;3
Amapá;Roubo seguido de morte (latrocínio);2017;12;1
Amapá;Roubo seguido de morte (latrocínio);2018;1;4
Amapá;Roubo seguido de morte (latrocínio);2018;2;3
Amapá;Roubo seguido de morte (latrocínio);2018;3;1
Amapá;Roubo seguido de morte (latrocínio);2018;4;2
Amapá;Roubo seguido de morte (latrocínio);2018;6;1
Amapá;Roubo seguido de morte (latrocínio);2018;7;1
Amapá;Roubo seguido de morte (latrocínio);2018;9;2
Amapá;Roubo seguido de morte (latrocínio);2018;10;2
Amapá;Roubo seguido de morte (latrocínio);2018;11;3
Amapá;Roubo seguido de morte (latrocínio);2018;12;3
Amapá;Roubo seguido de morte (latrocínio);2019;1;1
Amapá;Roubo seguido de morte (latrocínio);2019;2;2
Amapá;Roubo seguido de morte (latrocínio);2019;3;1
Amapá;Roubo seguido de morte (latrocínio);2019;5;1
Amapá;Roubo seguido de morte (latrocínio);2019;6;1
Amapá;Roubo seguido de morte (latrocínio);2019;7;3
Amapá;Roubo seguido de morte (latrocínio);2019;8;1
Amapá;Roubo seguido de morte (latrocínio);2019;10;1
Amapá;Roubo seguido de morte (latrocínio);2019;11;1
Amapá;Roubo seguido de morte (latrocínio);2019;12;3
Amapá;Roubo seguido de morte (latrocínio);2020;2;1
Amapá;Roubo seguido de morte (latrocínio);2020;3;2
Amazonas;Homicídio doloso;2015;1;99
Amazonas;Homicídio doloso;2015;2;98
Amazonas;Homicídio doloso;2015;3;107
Amazonas;Homicídio doloso;2015;4;123
Amazonas;Homicídio doloso;2015;5;131
Amazonas;Homicídio doloso;2015;6;103
Amazonas;Homicídio doloso;2015;7;112
Amazonas;Homicídio doloso;2015;8;120
Amazonas;Homicídio doloso;2015;9;112
Amazonas;Homicídio doloso;2015;10;114
Amazonas;Homicídio doloso;2015;11;113
Amazonas;Homicídio doloso;2015;12;86
Amazonas;Homicídio doloso;2016;1;110
Amazonas;Homicídio doloso;2016;2;83
Amazonas;Homicídio doloso;2016;3;82
Amazonas;Homicídio doloso;2016;4;82
Amazonas;Homicídio doloso;2016;5;75
Amazonas;Homicídio doloso;2016;6;80
Amazonas;Homicídio doloso;2016;7;109
Amazonas;Homicídio doloso;2016;8;77
Amazonas;Homicídio doloso;2016;9;68
Amazonas;Homicídio doloso;2016;10;83
Amazonas;Homicídio doloso;2016;11;84
Amazonas;Homicídio doloso;2016;12;93
Amazonas;Homicídio doloso;2017;1;95
Amazonas;Homicídio doloso;2017;2;79
Amazonas;Homicídio doloso;2017;3;89
Amazonas;Homicídio doloso;2017;4;101
Amazonas;Homicídio doloso;2017;5;94
Amazonas;Homicídio doloso;2017;6;118
Amazonas;Homicídio doloso;2017;7;116
Amazonas;Homicídio doloso;2017;8;127
Amazonas;Homicídio doloso;2017;9;80
Amazonas;Homicídio doloso;2017;10;68
Amazonas;Homicídio doloso;2017;11;81
Amazonas;Homicídio doloso;2017;12;87
Amazonas;Homicídio doloso;2018;1;59
Amazonas;Homicídio doloso;2018;2;80
Amazonas;Homicídio doloso;2018;3;91
Amazonas;Homicídio doloso;2018;4;94
Amazonas;Homicídio doloso;2018;5;88
Amazonas;Homicídio doloso;2018;6;118
Amazonas;Homicídio doloso;2018;7;116
Amazonas;Homicídio doloso;2018;8;93
Amazonas;Homicídio doloso;2018;9;103
Amazonas;Homicídio doloso;2018;10;124
Amazonas;Homicídio doloso;2018;11;64
Amazonas;Homicídio doloso;2018;12;63
Amazonas;Homicídio doloso;2019;1;81
Amazonas;Homicídio doloso;2019;2;67
Amazonas;Homicídio doloso;2019;3;73
Amazonas;Homicídio doloso;2019;4;87
Amazonas;Homicídio doloso;2019;5;73
Amazonas;Homicídio doloso;2019;6;68
Amazonas;Homicídio doloso;2019;7;84
Amazonas;Homicídio doloso;2019;8;90
Amazonas;Homicídio doloso;2019;9;104
Amazonas;Homicídio doloso;2019;10;88
Amazonas;Homicídio doloso;2019;11;87
Amazonas;Homicídio doloso;2019;12;93
Amazonas;Homicídio doloso;2020;1;118
Amazonas;Homicídio doloso;2020;2;76
Amazonas;Homicídio doloso;2020;3;53
Amazonas;Lesão corporal seguida de morte;2015;1;1
Amazonas;Lesão corporal seguida de morte;2015;2;1
Amazonas;Lesão corporal seguida de morte;2015;3;0
Amazonas;Lesão corporal seguida de morte;2015;4;1
Amazonas;Lesão corporal seguida de morte;2015;5;1
Amazonas;Lesão corporal seguida de morte;2015;6;0
Amazonas;Lesão corporal seguida de morte;2015;7;1
Amazonas;Lesão corporal seguida de morte;2015;8;1
Amazonas;Lesão corporal seguida de morte;2015;9;1
Amazonas;Lesão corporal seguida de morte;2015;10;0
Amazonas;Lesão corporal seguida de morte;2015;11;0
Amazonas;Lesão corporal seguida de morte;2015;12;2
Amazonas;Lesão corporal seguida de morte;2016;1;1
Amazonas;Lesão corporal seguida de morte;2016;2;5
Amazonas;Lesão corporal seguida de morte;2016;3;3
Amazonas;Lesão corporal seguida de morte;2016;4;6
Amazonas;Lesão corporal seguida de morte;2016;5;2
Amazonas;Lesão corporal seguida de morte;2016;6;2
Amazonas;Lesão corporal seguida de morte;2016;7;4
Amazonas;Lesão corporal seguida de morte;2016;8;3
Amazonas;Lesão corporal seguida de morte;2016;9;2
Amazonas;Lesão corporal seguida de morte;2016;10;4
Amazonas;Lesão corporal seguida de morte;2016;11;2
Amazonas;Lesão corporal seguida de morte;2016;12;2
Amazonas;Lesão corporal seguida de morte;2017;1;2
Amazonas;Lesão corporal seguida de morte;2017;2;2
Amazonas;Lesão corporal seguida de morte;2017;3;3
Amazonas;Lesão corporal seguida de morte;2017;4;4
Amazonas;Lesão corporal seguida de morte;2017;5;5
Amazonas;Lesão corporal seguida de morte;2017;6;7
Amazonas;Lesão corporal seguida de morte;2017;7;6
Amazonas;Lesão corporal seguida de morte;2017;8;1
Amazonas;Lesão corporal seguida de morte;2017;9;1
Amazonas;Lesão corporal seguida de morte;2017;10;4
Amazonas;Lesão corporal seguida de morte;2017;11;3
Amazonas;Lesão corporal seguida de morte;2017;12;1
Amazonas;Lesão corporal seguida de morte;2018;1;0
