nome,tipo_crime,ano,mes,vitimas,ocorrencias,uf
Amapá,Lesão corporal seguida de morte,2019,7,1.0,1.0,AP
Amapá,Lesão corporal seguida de morte,2019,8,3.0,3.0,AP
Amapá,Lesão corporal seguida de morte,2019,9,5.0,5.0,AP
Amapá,Lesão corporal seguida de morte,2019,10,2.0,2.0,AP
Amapá,Lesão corporal seguida de morte,2019,11,5.0,5.0,AP
Amapá,Lesão corporal seguida de morte,2019,12,0.0,0.0,AP
Amapá,Lesão corporal seguida de morte,2020,1,8.0,5.0,AP
Amapá,Lesão corporal seguida de morte,2020,2,1.0,1.0,AP
Amapá,Lesão corporal seguida de morte,2020,3,1.0,1.0,AP
Amapá,Roubo seguido de morte (latrocínio),2015,1,3.0,3.0,AP
Amapá,Roubo seguido de morte (latrocínio),2015,2,1.0,1.0,AP
Amapá,Roubo seguido de morte (latrocínio),2015,3,2.0,2.0,AP
Amapá,Roubo seguido de morte (latrocínio),2015,4,1.0,1.0,AP
Amapá,Roubo seguido de morte (latrocínio),2015,5,4.0,4.0,AP
Amapá,Roubo seguido de morte (latrocínio),2015,6,1.0,1.0,AP
Amapá,Roubo seguido de morte (latrocínio),2015,7,1.0,1.0,AP
Amapá,Roubo seguido de morte (latrocínio),2015,8,2.0,2.0,AP
Amapá,Roubo seguido de morte (latrocínio),2015,12,2.0,2.0,AP
Amapá,Roubo seguido de morte (latrocínio),2016,2,6.0,6.0,AP
Amapá,Roubo seguido de morte (latrocínio),2016,3,3.0,3.0,AP
Amapá,Roubo seguido de morte (latrocínio),2016,4,1.0,1.0,AP
Amapá,Roubo seguido de morte (latrocínio),2016,5,2.0,2.0,AP
Amapá,Roubo seguido de morte (latrocínio),2016,7,1.0,1.0,AP
Amapá,Roubo seguido de morte (latrocínio),2016,8,1.0,1.0,AP
Amapá,Roubo seguido de morte (latrocínio),2016,9,2.0,2.0,AP
Amapá,Roubo seguido de morte (latrocínio),2016,11,1.0,1.0,AP
Amapá,Roubo seguido de morte (latrocínio),2016,12,1.0,1.0,AP
Amapá,Roubo seguido de morte (latrocínio),2017,1,2.0,2.0,AP
Amapá,Roubo seguido de morte (latrocínio),2017,2,2.0,2.0,AP
Amapá,Roubo seguido de morte (latrocínio),2017,3,1.0,1.0,AP
Amapá,Roubo seguido de morte (latrocínio),2017,4,3.0,3.0,AP
Amapá,Roubo seguido de morte (latrocínio),2017,5,5.0,5.0,AP
Amapá,Roubo seguido de morte (latrocínio),2017,6,2.0,3.0,AP
Amapá,Roubo seguido de morte (latrocínio),2017,7,1.0,1.0,AP
Amapá,Roubo seguido de morte (latrocínio),2017,8,1.0,1.0,AP
Amapá,Roubo seguido de morte (latrocínio),2017,10,1.0,1.0,AP
Amapá,Roubo seguido de morte (latrocínio),2017,11,3.0,3.0,AP
Amapá,Roubo seguido de morte (latrocínio),2017,12,1.0,1.0,AP
Amapá,Roubo seguido de morte (latrocínio),2018,1,4.0,1.0,AP
Amapá,Roubo seguido de morte (latrocínio),2018,2,3.0,3.0,AP
